"id";"employee_id";"date";"checkin_at";"checkout_at";"created_at";"updated_at"
"1";"1";"2023-04-03";"2023-04-03 07:19:38";"2023-04-03 14:46:43";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"2";"1";"2023-04-02";"";"";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"3";"1";"2023-04-01";"2023-04-01 06:06:26";"";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"4";"1";"2023-03-31";"2023-03-31 07:16:03";"2023-03-31 15:44:16";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"5";"1";"2023-03-30";"2023-03-30 07:49:48";"2023-03-30 14:49:31";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"6";"1";"2023-03-29";"2023-03-29 06:44:57";"2023-03-29 15:55:30";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"7";"1";"2023-03-28";"2023-03-28 06:59:55";"2023-03-28 15:13:29";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"8";"1";"2023-03-27";"2023-03-27 06:22:19";"2023-03-27 14:54:21";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"9";"1";"2023-03-26";"2023-03-26 06:38:57";"2023-03-26 15:17:01";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"10";"1";"2023-03-25";"2023-03-25 07:55:59";"2023-03-25 12:07:45";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"11";"1";"2023-03-24";"2023-03-24 06:36:58";"2023-03-24 14:09:32";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"12";"1";"2023-03-23";"2023-03-23 07:44:48";"2023-03-23 13:17:57";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"13";"1";"2023-03-22";"2023-03-22 07:57:33";"2023-03-22 14:24:46";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"14";"1";"2023-03-21";"2023-03-21 06:52:42";"2023-03-21 15:03:12";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"15";"1";"2023-03-20";"2023-03-20 06:33:26";"2023-03-20 14:53:57";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"16";"1";"2023-03-19";"2023-03-19 06:48:04";"2023-03-19 12:17:20";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"17";"1";"2023-03-18";"2023-03-18 06:44:36";"2023-03-18 13:56:45";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"18";"1";"2023-03-17";"2023-03-17 06:15:08";"2023-03-17 12:44:39";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"19";"1";"2023-03-16";"2023-03-16 07:54:21";"2023-03-16 13:36:48";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"20";"1";"2023-03-15";"2023-03-15 06:53:06";"2023-03-15 14:18:30";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"21";"1";"2023-03-14";"2023-03-14 07:10:42";"2023-03-14 12:11:36";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"22";"1";"2023-03-13";"2023-03-13 07:32:41";"2023-03-13 15:35:43";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"23";"1";"2023-03-12";"2023-03-12 06:47:18";"2023-03-12 14:15:36";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"24";"1";"2023-03-11";"2023-03-11 07:34:14";"2023-03-11 12:46:31";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"25";"1";"2023-03-10";"2023-03-10 07:15:24";"2023-03-10 12:39:49";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"26";"1";"2023-03-09";"2023-03-09 06:00:16";"2023-03-09 14:58:50";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"27";"1";"2023-03-08";"2023-03-08 07:59:18";"2023-03-08 13:13:45";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"28";"1";"2023-03-07";"2023-03-07 06:34:23";"2023-03-07 13:23:49";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"29";"1";"2023-03-06";"2023-03-06 06:11:13";"2023-03-06 13:49:08";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"30";"1";"2023-03-05";"2023-03-05 06:17:44";"2023-03-05 12:40:08";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"31";"2";"2023-03-04";"2023-03-04 07:22:59";"2023-03-04 13:02:51";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"32";"2";"2023-03-03";"2023-03-03 07:00:16";"2023-03-03 14:35:12";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"33";"2";"2023-03-02";"2023-03-02 06:49:08";"2023-03-02 14:30:03";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
"34";"2";"2023-03-01";"2023-03-01 06:01:46";"2023-03-01 14:56:06";"2023-04-04 07:57:16";"2023-04-04 07:57:16"
